data,descricao,categoria,pagamento,valor
2024-05-27,Lançamento teste #75 — 2024-05 (venda),venda,dinheiro,384.50
2024-05-03,Lançamento teste #76 — 2024-05 (recorrente),recorrente,cartao_credito,71.15
2024-05-10,Lançamento teste #77 — 2024-05 (venda),venda,dinheiro,418.00
2024-05-17,Lançamento teste #78 — 2024-05 (recorrente),recorrente,cartao_credito,76.15
2024-05-24,Lançamento teste #79 — 2024-05 (venda),venda,dinheiro,427.00
2024-05-31,Lançamento teste #80 — 2024-05 (recorrente),recorrente,cartao_credito,105.65
2024-05-07,Lançamento teste #81 — 2024-05 (venda),venda,dinheiro,460.50
2024-05-14,Lançamento teste #82 — 2024-05 (recorrente),recorrente,cartao_credito,85.15
2024-05-21,Lançamento teste #83 — 2024-05 (venda),venda,dinheiro,494.00
2024-05-28,Lançamento teste #84 — 2024-05 (recorrente),recorrente,cartao_credito,114.65
2024-05-04,Lançamento teste #85 — 2024-05 (venda),venda,dinheiro,503.00
2024-05-11,Lançamento teste #86 — 2024-05 (recorrente),recorrente,cartao_credito,69.65
2024-05-18,Lançamento teste #87 — 2024-05 (venda),venda,dinheiro,536.50
2024-05-25,Lançamento teste #88 — 2024-05 (recorrente),recorrente,cartao_credito,99.15
2024-05-01,Lançamento teste #89 — 2024-05 (venda),venda,dinheiro,570.00
2024-05-08,Lançamento teste #90 — 2024-05 (recorrente),recorrente,cartao_credito,128.65
2024-06-16,Lançamento teste #91 — 2024-06 (outro),outro,dinheiro,126.00
2024-06-23,Lançamento teste #92 — 2024-06 (servico),servico,cartao_credito,446.25
2024-06-30,Lançamento teste #93 — 2024-06 (outro),outro,dinheiro,127.00
2024-06-07,Lançamento teste #94 — 2024-06 (servico),servico,cartao_credito,545.75
2024-06-14,Lançamento teste #95 — 2024-06 (outro),outro,dinheiro,152.50
2024-06-21,Lançamento teste #96 — 2024-06 (servico),servico,cartao_credito,645.25
2024-06-28,Lançamento teste #97 — 2024-06 (outro),outro,dinheiro,178.00
2024-06-05,Lançamento teste #98 — 2024-06 (servico),servico,cartao_credito,744.75
2024-06-12,Lançamento teste #99 — 2024-06 (outro),outro,dinheiro,179.00
2024-06-19,Lançamento teste #100 — 2024-06 (servico),servico,cartao_credito,819.75
2024-06-26,Lançamento teste #101 — 2024-06 (outro),outro,dinheiro,44.50
2024-06-03,Lançamento teste #102 — 2024-06 (servico),servico,cartao_credito,919.25
2024-06-10,Lançamento teste #103 — 2024-06 (outro),outro,dinheiro,70.00
2024-06-17,Lançamento teste #104 — 2024-06 (servico),servico,cartao_credito,1018.75
2024-06-24,Lançamento teste #105 — 2024-06 (outro),outro,dinheiro,95.50
2024-06-01,Lançamento teste #106 — 2024-06 (servico),servico,cartao_credito,1093.75
2024-06-08,Lançamento teste #107 — 2024-06 (outro),outro,dinheiro,96.50
2024-06-15,Lançamento teste #108 — 2024-06 (servico),servico,cartao_credito,1193.25
2024-07-19,Lançamento teste #109 — 2024-07 (recorrente),recorrente,dinheiro,90.40
2024-07-26,Lançamento teste #110 — 2024-07 (venda),venda,cartao_credito,203.25
2024-07-02,Lançamento teste #111 — 2024-07 (recorrente),recorrente,dinheiro,69.90
2024-07-09,Lançamento teste #112 — 2024-07 (venda),venda,cartao_credito,236.75
2024-07-16,Lançamento teste #113 — 2024-07 (recorrente),recorrente,dinheiro,74.90
2024-07-23,Lançamento teste #114 — 2024-07 (venda),venda,cartao_credito,245.75
2024-07-30,Lançamento teste #115 — 2024-07 (recorrente),recorrente,dinheiro,104.40
2024-07-06,Lançamento teste #116 — 2024-07 (venda),venda,cartao_credito,279.25
2024-07-13,Lançamento teste #117 — 2024-07 (recorrente),recorrente,dinheiro,83.90
2024-07-20,Lançamento teste #118 — 2024-07 (venda),venda,cartao_credito,312.75
2024-07-27,Lançamento teste #119 — 2024-07 (recorrente),recorrente,dinheiro,113.40
2024-07-03,Lançamento teste #120 — 2024-07 (venda),venda,cartao_credito,321.75
2024-07-10,Lançamento teste #121 — 2024-07 (recorrente),recorrente,dinheiro,68.40
2024-07-17,Lançamento teste #122 — 2024-07 (venda),venda,cartao_credito,355.25
2024-07-24,Lançamento teste #123 — 2024-07 (recorrente),recorrente,dinheiro,97.90
2024-07-31,Lançamento teste #124 — 2024-07 (venda),venda,cartao_credito,388.75
2024-07-07,Lançamento teste #125 — 2024-07 (recorrente),recorrente,dinheiro,127.40
2024-07-14,Lançamento teste #126 — 2024-07 (venda),venda,cartao_credito,422.25
2024-08-22,Lançamento teste #127 — 2024-08 (servico),servico,dinheiro,670.00
2024-08-29,Lançamento teste #128 — 2024-08 (outro),outro,cartao_credito,85.75
2024-08-05,Lançamento teste #129 — 2024-08 (servico),servico,dinheiro,769.50
2024-08-12,Lançamento teste #130 — 2024-08 (outro),outro,cartao_credito,111.25
2024-08-19,Lançamento teste #131 — 2024-08 (servico),servico,dinheiro,869.00
2024-08-26,Lançamento teste #132 — 2024-08 (outro),outro,cartao_credito,136.75
2024-08-02,Lançamento teste #133 — 2024-08 (servico),servico,dinheiro,968.50
2024-08-09,Lançamento teste #134 — 2024-08 (outro),outro,cartao_credito,137.75
2024-08-16,Lançamento teste #135 — 2024-08 (servico),servico,dinheiro,1043.50
2024-08-23,Lançamento teste #136 — 2024-08 (outro),outro,cartao_credito,163.25
2024-08-30,Lançamento teste #137 — 2024-08 (servico),servico,dinheiro,1143.00
2024-08-06,Lançamento teste #138 — 2024-08 (outro),outro,cartao_credito,188.75
2024-08-13,Lançamento teste #139 — 2024-08 (servico),servico,dinheiro,1242.50
2024-08-20,Lançamento teste #140 — 2024-08 (outro),outro,cartao_credito,214.25
2024-08-27,Lançamento teste #141 — 2024-08 (servico),servico,dinheiro,1317.50
2024-08-03,Lançamento teste #142 — 2024-08 (outro),outro,cartao_credito,55.25
2024-08-10,Lançamento teste #143 — 2024-08 (servico),servico,dinheiro,1417.00
2024-08-17,Lançamento teste #144 — 2024-08 (outro),outro,cartao_credito,80.75
2024-09-25,Lançamento teste #145 — 2024-09 (venda),venda,dinheiro,622.00
2024-09-02,Lançamento teste #146 — 2024-09 (recorrente),recorrente,cartao_credito,68.65
2024-09-09,Lançamento teste #147 — 2024-09 (venda),venda,dinheiro,655.50
2024-09-16,Lançamento teste #148 — 2024-09 (recorrente),recorrente,cartao_credito,73.65
2024-09-23,Lançamento teste #149 — 2024-09 (venda),venda,dinheiro,664.50
2024-09-30,Lançamento teste #150 — 2024-09 (recorrente),recorrente,cartao_credito,103.15
2024-09-07,Lançamento teste #151 — 2024-09 (venda),venda,dinheiro,98.00
2024-09-14,Lançamento teste #152 — 2024-09 (recorrente),recorrente,cartao_credito,82.65
2024-09-21,Lançamento teste #153 — 2024-09 (venda),venda,dinheiro,131.50
2024-09-28,Lançamento teste #154 — 2024-09 (recorrente),recorrente,cartao_credito,112.15
2024-09-05,Lançamento teste #155 — 2024-09 (venda),venda,dinheiro,140.50
2024-09-12,Lançamento teste #156 — 2024-09 (recorrente),recorrente,cartao_credito,67.15
2024-09-19,Lançamento teste #157 — 2024-09 (venda),venda,dinheiro,174.00
2024-09-26,Lançamento teste #158 — 2024-09 (recorrente),recorrente,cartao_credito,96.65
2024-09-03,Lançamento teste #159 — 2024-09 (venda),venda,dinheiro,207.50
2024-09-10,Lançamento teste #160 — 2024-09 (recorrente),recorrente,cartao_credito,126.15
2024-09-17,Lançamento teste #161 — 2024-09 (venda),venda,dinheiro,241.00
2024-09-24,Lançamento teste #162 — 2024-09 (recorrente),recorrente,cartao_credito,81.15
2024-10-28,Lançamento teste #163 — 2024-10 (outro),outro,dinheiro,44.50
2024-10-04,Lançamento teste #164 — 2024-10 (servico),servico,cartao_credito,993.25
2024-10-11,Lançamento teste #165 — 2024-10 (outro),outro,dinheiro,70.00
2024-10-18,Lançamento teste #166 — 2024-10 (servico),servico,cartao_credito,1092.75
2024-10-25,Lançamento teste #167 — 2024-10 (outro),outro,dinheiro,95.50
2024-10-01,Lançamento teste #168 — 2024-10 (servico),servico,cartao_credito,1192.25
2024-10-08,Lançamento teste #169 — 2024-10 (outro),outro,dinheiro,96.50
2024-10-15,Lançamento teste #170 — 2024-10 (servico),servico,cartao_credito,1267.25
2024-10-22,Lançamento teste #171 — 2024-10 (outro),outro,dinheiro,122.00
2024-10-29,Lançamento teste #172 — 2024-10 (servico),servico,cartao_credito,1366.75
2024-10-05,Lançamento teste #173 — 2024-10 (outro),outro,dinheiro,147.50
2024-10-12,Lançamento teste #174 — 2024-10 (servico),servico,cartao_credito,1466.25
2024-10-19,Lançamento teste #175 — 2024-10 (outro),outro,dinheiro,173.00
2024-10-26,Lançamento teste #176 — 2024-10 (servico),servico,cartao_credito,1541.25
2024-10-02,Lançamento teste #177 — 2024-10 (outro),outro,dinheiro,174.00
2024-10-09,Lançamento teste #178 — 2024-10 (servico),servico,cartao_credito,1640.75
2024-10-16,Lançamento teste #179 — 2024-10 (outro),outro,dinheiro,199.50
2024-10-23,Lançamento teste #180 — 2024-10 (servico),servico,cartao_credito,1740.25
2024-11-01,Lançamento teste #181 — 2024-11 (recorrente),recorrente,dinheiro,67.40
2024-11-08,Lançamento teste #182 — 2024-11 (venda),venda,cartao_credito,474.25
2024-11-15,Lançamento teste #183 — 2024-11 (recorrente),recorrente,dinheiro,72.40
2024-11-22,Lançamento teste #184 — 2024-11 (venda),venda,cartao_credito,483.25
2024-11-29,Lançamento teste #185 — 2024-11 (recorrente),recorrente,dinheiro,101.90
2024-11-06,Lançamento teste #186 — 2024-11 (venda),venda,cartao_credito,516.75
2024-11-13,Lançamento teste #187 — 2024-11 (recorrente),recorrente,dinheiro,81.40
2024-11-20,Lançamento teste #188 — 2024-11 (venda),venda,cartao_credito,550.25
2024-11-27,Lançamento teste #189 — 2024-11 (recorrente),recorrente,dinheiro,110.90
2024-11-04,Lançamento teste #190 — 2024-11 (venda),venda,cartao_credito,559.25
2024-11-11,Lançamento teste #191 — 2024-11 (recorrente),recorrente,dinheiro,65.90
2024-11-18,Lançamento teste #192 — 2024-11 (venda),venda,cartao_credito,592.75
2024-11-25,Lançamento teste #193 — 2024-11 (recorrente),recorrente,dinheiro,95.40
2024-11-02,Lançamento teste #194 — 2024-11 (venda),venda,cartao_credito,626.25
2024-11-09,Lançamento teste #195 — 2024-11 (recorrente),recorrente,dinheiro,124.90
2024-11-16,Lançamento teste #196 — 2024-11 (venda),venda,cartao_credito,659.75
2024-11-23,Lançamento teste #197 — 2024-11 (recorrente),recorrente,dinheiro,79.90
2024-11-30,Lançamento teste #198 — 2024-11 (venda),venda,cartao_credito,668.75
2024-12-03,Lançamento teste #199 — 2024-12 (servico),servico,dinheiro,1217.00
2024-12-10,Lançamento teste #200 — 2024-12 (outro),outro,cartao_credito,188.75
2024-12-17,Lançamento teste #201 — 2024-12 (servico),servico,dinheiro,1316.50
2024-12-24,Lançamento teste #202 — 2024-12 (outro),outro,cartao_credito,54.25
2024-12-31,Lançamento teste #203 — 2024-12 (servico),servico,dinheiro,1416.00
2024-12-07,Lançamento teste #204 — 2024-12 (outro),outro,cartao_credito,55.25
2024-12-14,Lançamento teste #205 — 2024-12 (servico),servico,dinheiro,1491.00
2024-12-21,Lançamento teste #206 — 2024-12 (outro),outro,cartao_credito,80.75
2024-12-28,Lançamento teste #207 — 2024-12 (servico),servico,dinheiro,1590.50
2024-12-04,Lançamento teste #208 — 2024-12 (outro),outro,cartao_credito,106.25
2024-12-11,Lançamento teste #209 — 2024-12 (servico),servico,dinheiro,1690.00
2024-12-18,Lançamento teste #210 — 2024-12 (outro),outro,cartao_credito,131.75
2024-12-25,Lançamento teste #211 — 2024-12 (servico),servico,dinheiro,415.00
2024-12-01,Lançamento teste #212 — 2024-12 (outro),outro,cartao_credito,132.75
2024-12-08,Lançamento teste #213 — 2024-12 (servico),servico,dinheiro,514.50
2024-12-15,Lançamento teste #214 — 2024-12 (outro),outro,cartao_credito,158.25
2024-12-22,Lançamento teste #215 — 2024-12 (servico),servico,dinheiro,614.00
2024-12-29,Lançamento teste #216 — 2024-12 (outro),outro,cartao_credito,183.75
2025-01-06,Lançamento teste #217 — 2025-01 (venda),venda,dinheiro,293.00
2025-01-13,Lançamento teste #218 — 2025-01 (recorrente),recorrente,cartao_credito,71.15
2025-01-20,Lançamento teste #219 — 2025-01 (venda),venda,dinheiro,302.00
2025-01-27,Lançamento teste #220 — 2025-01 (recorrente),recorrente,cartao_credito,100.65
2025-01-03,Lançamento teste #221 — 2025-01 (venda),venda,dinheiro,335.50
2025-01-10,Lançamento teste #222 — 2025-01 (recorrente),recorrente,cartao_credito,80.15
2025-01-17,Lançamento teste #223 — 2025-01 (venda),venda,dinheiro,369.00
2025-01-24,Lançamento teste #224 — 2025-01 (recorrente),recorrente,cartao_credito,109.65
2025-01-31,Lançamento teste #225 — 2025-01 (venda),venda,dinheiro,378.00
2025-01-07,Lançamento teste #226 — 2025-01 (recorrente),recorrente,cartao_credito,64.65
2025-01-14,Lançamento teste #227 — 2025-01 (venda),venda,dinheiro,411.50
2025-01-21,Lançamento teste #228 — 2025-01 (recorrente),recorrente,cartao_credito,94.15
2025-01-28,Lançamento teste #229 — 2025-01 (venda),venda,dinheiro,445.00
2025-01-04,Lançamento teste #230 — 2025-01 (recorrente),recorrente,cartao_credito,123.65
2025-01-11,Lançamento teste #231 — 2025-01 (venda),venda,dinheiro,478.50
2025-01-18,Lançamento teste #232 — 2025-01 (recorrente),recorrente,cartao_credito,78.65
2025-01-25,Lançamento teste #233 — 2025-01 (venda),venda,dinheiro,487.50
2025-01-01,Lançamento teste #234 — 2025-01 (recorrente),recorrente,cartao_credito,108.15
2025-02-12,Lançamento teste #235 — 2025-02 (outro),outro,dinheiro,147.50
2025-02-19,Lançamento teste #236 — 2025-02 (servico),servico,cartao_credito,1540.25
2025-02-26,Lançamento teste #237 — 2025-02 (outro),outro,dinheiro,173.00
2025-02-05,Lançamento teste #238 — 2025-02 (servico),servico,cartao_credito,1639.75
2025-02-12,Lançamento teste #239 — 2025-02 (outro),outro,dinheiro,174.00
2025-02-19,Lançamento teste #240 — 2025-02 (servico),servico,cartao_credito,1714.75
2025-02-26,Lançamento teste #241 — 2025-02 (outro),outro,dinheiro,39.50
2025-02-05,Lançamento teste #242 — 2025-02 (servico),servico,cartao_credito,464.25
2025-02-12,Lançamento teste #243 — 2025-02 (outro),outro,dinheiro,65.00
2025-02-19,Lançamento teste #244 — 2025-02 (servico),servico,cartao_credito,563.75
2025-02-26,Lançamento teste #245 — 2025-02 (outro),outro,dinheiro,90.50
2025-02-05,Lançamento teste #246 — 2025-02 (servico),servico,cartao_credito,638.75
2025-02-12,Lançamento teste #247 — 2025-02 (outro),outro,dinheiro,91.50
2025-02-19,Lançamento teste #248 — 2025-02 (servico),servico,cartao_credito,738.25
2025-02-26,Lançamento teste #249 — 2025-02 (outro),outro,dinheiro,117.00
2025-02-05,Lançamento teste #250 — 2025-02 (servico),servico,cartao_credito,837.75
2025-02-12,Lançamento teste #251 — 2025-02 (outro),outro,dinheiro,142.50
2025-02-19,Lançamento teste #252 — 2025-02 (servico),servico,cartao_credito,937.25
2025-03-12,Lançamento teste #253 — 2025-03 (recorrente),recorrente,dinheiro,69.90
2025-03-19,Lançamento teste #254 — 2025-03 (venda),venda,cartao_credito,120.75
2025-03-26,Lançamento teste #255 — 2025-03 (recorrente),recorrente,dinheiro,99.40
2025-03-02,Lançamento teste #256 — 2025-03 (venda),venda,cartao_credito,154.25
2025-03-09,Lançamento teste #257 — 2025-03 (recorrente),recorrente,dinheiro,78.90
2025-03-16,Lançamento teste #258 — 2025-03 (venda),venda,cartao_credito,187.75
2025-03-23,Lançamento teste #259 — 2025-03 (recorrente),recorrente,dinheiro,108.40
2025-03-30,Lançamento teste #260 — 2025-03 (venda),venda,cartao_credito,196.75
2025-03-06,Lançamento teste #261 — 2025-03 (recorrente),recorrente,dinheiro,63.40
2025-03-13,Lançamento teste #262 — 2025-03 (venda),venda,cartao_credito,230.25
2025-03-20,Lançamento teste #263 — 2025-03 (recorrente),recorrente,dinheiro,92.90
2025-03-27,Lançamento teste #264 — 2025-03 (venda),venda,cartao_credito,263.75
2025-03-03,Lançamento teste #265 — 2025-03 (recorrente),recorrente,dinheiro,122.40
2025-03-10,Lançamento teste #266 — 2025-03 (venda),venda,cartao_credito,297.25
2025-03-17,Lançamento teste #267 — 2025-03 (recorrente),recorrente,dinheiro,77.40
2025-03-24,Lançamento teste #268 — 2025-03 (venda),venda,cartao_credito,306.25
2025-03-31,Lançamento teste #269 — 2025-03 (recorrente),recorrente,dinheiro,106.90
2025-03-07,Lançamento teste #270 — 2025-03 (venda),venda,cartao_credito,339.75
2025-04-16,Lançamento teste #271 — 2025-04 (servico),servico,dinheiro,414.00
2025-04-23,Lançamento teste #272 — 2025-04 (outro),outro,cartao_credito,131.75
2025-04-30,Lançamento teste #273 — 2025-04 (servico),servico,dinheiro,513.50
2025-04-07,Lançamento teste #274 — 2025-04 (outro),outro,cartao_credito,132.75
2025-04-14,Lançamento teste #275 — 2025-04 (servico),servico,dinheiro,588.50
2025-04-21,Lançamento teste #276 — 2025-04 (outro),outro,cartao_credito,158.25
2025-04-28,Lançamento teste #277 — 2025-04 (servico),servico,dinheiro,688.00
2025-04-05,Lançamento teste #278 — 2025-04 (outro),outro,cartao_credito,183.75
2025-04-12,Lançamento teste #279 — 2025-04 (servico),servico,dinheiro,787.50
2025-04-19,Lançamento teste #280 — 2025-04 (outro),outro,cartao_credito,209.25
2025-04-26,Lançamento teste #281 — 2025-04 (servico),servico,dinheiro,862.50
2025-04-03,Lançamento teste #282 — 2025-04 (outro),outro,cartao_credito,50.25
2025-04-10,Lançamento teste #283 — 2025-04 (servico),servico,dinheiro,962.00
2025-04-17,Lançamento teste #284 — 2025-04 (outro),outro,cartao_credito,75.75
2025-04-24,Lançamento teste #285 — 2025-04 (servico),servico,dinheiro,1061.50
2025-04-01,Lançamento teste #286 — 2025-04 (outro),outro,cartao_credito,101.25
2025-04-08,Lançamento teste #287 — 2025-04 (servico),servico,dinheiro,1161.00
2025-04-15,Lançamento teste #288 — 2025-04 (outro),outro,cartao_credito,102.25
2025-05-18,Lançamento teste #289 — 2025-05 (venda),venda,dinheiro,539.50
2025-05-25,Lançamento teste #290 — 2025-05 (recorrente),recorrente,cartao_credito,98.15
2025-05-01,Lançamento teste #291 — 2025-05 (venda),venda,dinheiro,573.00
2025-05-08,Lançamento teste #292 — 2025-05 (recorrente),recorrente,cartao_credito,77.65
2025-05-15,Lançamento teste #293 — 2025-05 (venda),venda,dinheiro,606.50
2025-05-22,Lançamento teste #294 — 2025-05 (recorrente),recorrente,cartao_credito,107.15
2025-05-29,Lançamento teste #295 — 2025-05 (venda),venda,dinheiro,615.50
2025-05-05,Lançamento teste #296 — 2025-05 (recorrente),recorrente,cartao_credito,62.15
2025-05-12,Lançamento teste #297 — 2025-05 (venda),venda,dinheiro,649.00
2025-05-19,Lançamento teste #298 — 2025-05 (recorrente),recorrente,cartao_credito,91.65
2025-05-26,Lançamento teste #299 — 2025-05 (venda),venda,dinheiro,682.50
2025-05-02,Lançamento teste #300 — 2025-05 (recorrente),recorrente,cartao_credito,121.15
2025-05-09,Lançamento teste #301 — 2025-05 (venda),venda,dinheiro,116.00
2025-05-16,Lançamento teste #302 — 2025-05 (recorrente),recorrente,cartao_credito,76.15
2025-05-23,Lançamento teste #303 — 2025-05 (venda),venda,dinheiro,125.00
2025-05-30,Lançamento teste #304 — 2025-05 (recorrente),recorrente,cartao_credito,105.65
2025-05-06,Lançamento teste #305 — 2025-05 (venda),venda,dinheiro,158.50
2025-05-13,Lançamento teste #306 — 2025-05 (recorrente),recorrente,cartao_credito,85.15
2025-06-22,Lançamento teste #307 — 2025-06 (outro),outro,dinheiro,90.50
2025-06-29,Lançamento teste #308 — 2025-06 (servico),servico,cartao_credito,737.25
2025-06-06,Lançamento teste #309 — 2025-06 (outro),outro,dinheiro,91.50
2025-06-13,Lançamento teste #310 — 2025-06 (servico),servico,cartao_credito,812.25
2025-06-20,Lançamento teste #311 — 2025-06 (outro),outro,dinheiro,117.00
2025-06-27,Lançamento teste #312 — 2025-06 (servico),servico,cartao_credito,911.75
2025-06-04,Lançamento teste #313 — 2025-06 (outro),outro,dinheiro,142.50
2025-06-11,Lançamento teste #314 — 2025-06 (servico),servico,cartao_credito,1011.25
2025-06-18,Lançamento teste #315 — 2025-06 (outro),outro,dinheiro,168.00
2025-06-25,Lançamento teste #316 — 2025-06 (servico),servico,cartao_credito,1086.25
2025-06-02,Lançamento teste #317 — 2025-06 (outro),outro,dinheiro,169.00
2025-06-09,Lançamento teste #318 — 2025-06 (servico),servico,cartao_credito,1185.75
2025-06-16,Lançamento teste #319 — 2025-06 (outro),outro,dinheiro,194.50
2025-06-23,Lançamento teste #320 — 2025-06 (servico),servico,cartao_credito,1285.25
2025-06-30,Lançamento teste #321 — 2025-06 (outro),outro,dinheiro,60.00
2025-06-07,Lançamento teste #322 — 2025-06 (servico),servico,cartao_credito,1384.75
2025-06-14,Lançamento teste #323 — 2025-06 (outro),outro,dinheiro,61.00
2025-06-21,Lançamento teste #324 — 2025-06 (servico),servico,cartao_credito,1459.75
2025-07-24,Lançamento teste #325 — 2025-07 (recorrente),recorrente,dinheiro,96.90
2025-07-31,Lançamento teste #326 — 2025-07 (venda),venda,cartao_credito,391.75
2025-07-07,Lançamento teste #327 — 2025-07 (recorrente),recorrente,dinheiro,76.40
